job_title,company_name,location,date_posted,url,source,scraped_at
NLP Data Scientist,MyndYou,"Tel Aviv-Yafo, Tel Aviv District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/nlp-data-scientist-at-myndyou-4273021490?position=1&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=wY5dGTslxgSS9fQrm5u3Lg%3D%3D,LinkedIn,2025-07-28T15:35:21.048648
Machine Learning Engineer,AU10TIX,"Hod HaSharon, Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/machine-learning-engineer-at-au10tix-4271298020?position=2&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=wL%2FjYbwtAoIJ6%2FiER9OGTg%3D%3D,LinkedIn,2025-07-28T15:35:21.049455
AI Agent Research Engineer,Commit,"Petah Tikva, Center District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/ai-agent-research-engineer-at-commit-4276085980?position=3&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=8Ab%2F%2FiGuhttjClO9VjbiMQ%3D%3D,LinkedIn,2025-07-28T15:35:21.050110
AI Developer,Logica-IT,"Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/ai-developer-at-logica-it-4271700545?position=4&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=X8OmWUhUBstrl9%2Fw5k%2FHrQ%3D%3D,LinkedIn,2025-07-28T15:35:21.050821
AI Developer,comblack,"Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/ai-developer-at-comblack-4267054746?position=5&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=Bd1kNXqMKBiC8hDFWZNJWg%3D%3D,LinkedIn,2025-07-28T15:35:21.051573
AI Research Engineer - Temp Position,Gini-Apps,"Raanana, Center District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/ai-research-engineer-temp-position-at-gini-apps-4276102674?position=6&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=oxFFlYtByNV0rpetSpXw3w%3D%3D,LinkedIn,2025-07-28T15:35:21.052254
Data Scientist,Gotfriends,"Herzliya, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/data-scientist-at-gotfriends-4271296905?position=7&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=pMtnFwjh00y7VF7C7SgE%2BQ%3D%3D,LinkedIn,2025-07-28T15:35:21.052902
MLOps,Dream,"Tel Aviv-Yafo, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/mlops-at-dream-4276094019?position=8&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=tI0yISi1k9aJAcFvgIk%2F3g%3D%3D,LinkedIn,2025-07-28T15:35:21.053590
AI/ML Platform Engineer,Dream,"Tel Aviv District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/ai-ml-platform-engineer-at-dream-4215917704?position=9&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=pSBjpMIIayQZBfwjBTzjKw%3D%3D,LinkedIn,2025-07-28T15:35:21.054271
Artificial Intelligence Engineer,Gotfriends,"Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/artificial-intelligence-engineer-at-gotfriends-4271701570?position=10&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=iY9hI8WUlxQVQSVjOu6Teg%3D%3D,LinkedIn,2025-07-28T15:35:21.054928
Deep Learning Researcher,Dialog,"Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/deep-learning-researcher-at-dialog-4271228753?position=11&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=0J6Or2BYRw7QJ%2FJJYFoslA%3D%3D,LinkedIn,2025-07-28T15:35:21.055628
Generative AI Engineer,Finout,"Tel Aviv District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/generative-ai-engineer-at-finout-4276093452?position=12&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=PozUmwFNVwv1%2FdU8eaN%2F%2Bg%3D%3D,LinkedIn,2025-07-28T15:35:21.056283
Senior Data Scientist,Dream,"Tel Aviv-Yafo, Tel Aviv District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/senior-data-scientist-at-dream-4248089433?position=13&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=5HYBCCH2qlN%2FRcpfk1E0CA%3D%3D,LinkedIn,2025-07-28T15:35:21.056909
AI Business Automation Engineer,LSports,"Ashkelon, South District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/ai-business-automation-engineer-at-lsports-4276091555?position=14&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=Pk4XL%2Fj4bdRwFIJXbpVang%3D%3D,LinkedIn,2025-07-28T15:35:21.057559
Senior Data Scientist,Shield,"Ramat Gan, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/senior-data-scientist-at-shield-4276923946?position=15&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=OBzG4DeT6Y9N1f5XEIUJHA%3D%3D,LinkedIn,2025-07-28T15:35:21.058209
Lead AI Researcher,Dynamic Infrastructure,"Emek Hefer Regional Council, Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/lead-ai-researcher-at-dynamic-infrastructure-4271210069?position=16&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=K1j0r1j%2BWmFpDlvxwRYjJA%3D%3D,LinkedIn,2025-07-28T15:35:21.058857
Solution Engineer,Pecan AI,"Ramat Gan, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/solution-engineer-at-pecan-ai-4273098849?position=17&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=xq0C%2BLAScQ7b%2FFWu3aVlHg%3D%3D,LinkedIn,2025-07-28T15:35:21.059501
AI Computer Vision Researcher,Camtek,"Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/ai-computer-vision-researcher-at-camtek-4271704387?position=18&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=dkRR5zStwrb7n24CgU0txQ%3D%3D,LinkedIn,2025-07-28T15:35:21.060133
AI Computer Vision Researcher,Camtek,"Raanana, Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/ai-computer-vision-researcher-at-camtek-4271297949?position=19&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=AaXUXJZr%2FNRckI02M%2BO2EA%3D%3D,LinkedIn,2025-07-28T15:35:21.060831
2548 - MLOps Engineer,Shabak - Israeli Security Agency - Career,"Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/2548-mlops-engineer-at-shabak-israeli-security-agency-career-4271205205?position=20&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=2cS%2FO8Owd3FV%2Bw1ECmQchg%3D%3D,LinkedIn,2025-07-28T15:35:21.061510
Senior Data Scientist,CyberArk,"Petah Tikva, Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/senior-data-scientist-at-cyberark-4250117096?position=21&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=FXEHKpVsMCUP98%2B%2F15Cwdw%3D%3D,LinkedIn,2025-07-28T15:35:21.062158
Senior Data Scientist,Prisma Photonics,"Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/senior-data-scientist-at-prisma-photonics-4252489886?position=22&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=fbtVTdJzXbq32ThthVykRQ%3D%3D,LinkedIn,2025-07-28T15:35:21.062825
Senior Automation Developer (Tel Aviv),abra,"Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/senior-automation-developer-tel-aviv-at-abra-4276122669?position=23&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=6ttx%2B9wsGt4MbOkOMDQjpw%3D%3D,LinkedIn,2025-07-28T15:35:21.063481
Senior AI Software Developer,WorldQuant,"Ramat Gan, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/senior-ai-software-developer-at-worldquant-4168468698?position=24&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=49NGJ7kmQxtxuVapaGM3cQ%3D%3D,LinkedIn,2025-07-28T15:35:21.064101
Junior QA Engineer,SuperCom (NASDAQ: SPCB),"Tel Aviv-Yafo, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/junior-qa-engineer-at-supercom-nasdaq-spcb-4276638493?position=25&pageNum=0&refId=XyT4VTFSC0gxoLufczErtg%3D%3D&trackingId=OxWkqbmXpisGRQsxiHSiTg%3D%3D,LinkedIn,2025-07-28T15:35:21.064758
Machine Learning Engineer,AU10TIX,"Hod HaSharon, Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/machine-learning-engineer-at-au10tix-4271298020?position=1&pageNum=0&refId=WRdn7Y1DmK%2B8YcIcE7fN1Q%3D%3D&trackingId=zDhOImuR6FaPcf2OIwHyMw%3D%3D,LinkedIn,2025-07-28T17:08:24.760686
Applied AI Engineer,Unframe AI,"Tel Aviv-Yafo, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/applied-ai-engineer-at-unframe-ai-4276993826?position=2&pageNum=0&refId=WRdn7Y1DmK%2B8YcIcE7fN1Q%3D%3D&trackingId=Zh5y4HXImS0wUZF5BDlikA%3D%3D,LinkedIn,2025-07-28T17:08:24.761537
AI Developer,Logica-IT,"Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/ai-developer-at-logica-it-4271700545?position=3&pageNum=0&refId=WRdn7Y1DmK%2B8YcIcE7fN1Q%3D%3D&trackingId=hxHBZ2etDSkWFC9s%2F35p2w%3D%3D,LinkedIn,2025-07-28T17:08:24.762229
AI Developer,comblack,"Center District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/ai-developer-at-comblack-4267054746?position=4&pageNum=0&refId=WRdn7Y1DmK%2B8YcIcE7fN1Q%3D%3D&trackingId=yUOTS5qX%2FCGEpR5JIaFQmg%3D%3D,LinkedIn,2025-07-28T17:08:24.762914
AI Research Engineer - Temp Position,Gini-Apps,"Raanana, Center District, Israel",2025-07-27,https://il.linkedin.com/jobs/view/ai-research-engineer-temp-position-at-gini-apps-4276102674?position=5&pageNum=0&refId=WRdn7Y1DmK%2B8YcIcE7fN1Q%3D%3D&trackingId=PHtZP0E0N5v1qI8jyBBaIA%3D%3D,LinkedIn,2025-07-28T17:08:24.763598
Data Scientist,Gotfriends,"Herzliya, Tel Aviv District, Israel",2025-07-28,https://il.linkedin.com/jobs/view/data-scientist-at-gotfriends-4271296905?position=6&pageNum=0&refId=WRdn7Y1DmK%2B8YcIcE7fN1Q%3D%3D&trackingId=EJ5uDbsLuUKBR%2FnCP2ClGA%3D%3D,LinkedIn,2025-07-28T17:08:24.764322
